Time (s), Temperature (°F), Humidity (%)
116, 39.30,  56.28
117, 39.31,  56.32
118, 39.31,  56.31
119, 39.28,  56.30
120, 39.32,  56.34
121, 39.32,  56.36
122, 39.34,  56.35
123, 39.34,  56.43
124, 39.34,  56.38
125, 39.33,  56.39
126, 39.37,  56.41
127, 39.36,  56.41
128, 39.31,  56.38
129, 39.35,  56.40
130, 39.36,  56.41
131, 39.31,  56.43
132, 39.37,  56.49
133, 39.32,  56.46
134, 39.35,  56.49
135, 39.34,  56.48
136, 39.33,  56.47
137, 39.33,  56.50
138, 39.25,  56.50
139, 39.29,  56.50
140, 39.30,  56.55
141, 39.30,  56.51
142, 39.23,  56.54
143, 39.27,  56.55
144, 39.27,  56.63
145, 39.27,  56.61
146, 39.29,  56.62
147, 39.30,  56.62
148, 39.33,  56.63
149, 39.36,  56.69
150, 39.31,  56.67
151, 39.35,  56.68
152, 39.37,  56.68
153, 39.35,  56.67
154, 39.36,  56.69
155, 39.38,  56.71
156, 39.36,  56.73
157, 39.42,  56.69
158, 39.38,  56.69
159, 39.42,  56.75
160, 39.39,  56.70
161, 39.39,  56.73
162, 39.38,  56.73
163, 39.38,  56.74
164, 39.37,  56.69
165, 39.39,  56.71
166, 39.37,  56.67
167, 39.40,  56.73
168, 39.43,  56.72
169, 39.38,  56.70
170, 39.42,  56.75
171, 39.44,  56.76
172, 39.41,  56.76
173, 39.41,  56.70
174, 39.42,  56.75
175, 39.48,  56.77
176, 39.46,  56.75
177, 39.48,  56.76
178, 39.48,  56.80
179, 39.39,  56.78
180, 39.39,  56.82
181, 39.40,  56.79
182, 39.42,  56.79
183, 39.42,  56.82
184, 39.45,  56.85
185, 39.41,  56.81
186, 39.48,  56.87
187, 39.46,  56.88
188, 39.46,  56.91
189, 39.48,  56.87
190, 39.45,  56.80
191, 39.47,  56.86
192, 39.44,  56.87
193, 39.44,  56.83
194, 39.49,  56.92
195, 39.52,  56.90
196, 39.49,  56.91
197, 39.47,  56.86
198, 39.45,  56.86
199, 39.45,  56.87
200, 39.43,  56.82
201, 39.43,  56.86
202, 39.41,  56.91
203, 39.39,  56.86
204, 39.36,  56.84
205, 39.36,  56.84
206, 39.40,  56.84
207, 39.41,  56.86
208, 39.43,  56.84
209, 39.45,  56.88
210, 39.44,  56.88
211, 39.49,  56.84
212, 39.44,  56.82
213, 39.51,  56.91
214, 39.52,  56.86
215, 39.53,  56.85
216, 39.56,  56.87
217, 39.55,  56.86
218, 39.53,  56.86
219, 39.54,  56.86
220, 39.57,  56.87
221, 39.55,  56.83
222, 39.55,  56.82
223, 39.55,  56.84
224, 39.54,  56.81
225, 39.53,  56.82
226, 39.54,  56.79
227, 39.55,  56.81
228, 39.52,  56.73
229, 39.55,  56.76
230, 39.53,  56.75
231, 39.58,  56.74
232, 39.57,  56.72
233, 39.59,  56.74
234, 39.61,  56.73
235, 39.56,  56.68
236, 39.54,  56.65
237, 39.52,  56.67
238, 39.54,  56.66
239, 39.53,  56.62
240, 39.56,  56.70
241, 39.54,  56.63
242, 39.59,  56.61
243, 39.57,  56.58
244, 39.53,  56.57
245, 39.57,  56.58
246, 39.59,  56.55
247, 39.57,  56.58
248, 39.58,  56.60
249, 39.64,  56.58
250, 39.59,  56.58
251, 39.63,  56.56
252, 39.61,  56.61
253, 39.63,  56.58
254, 39.58,  56.60
255, 39.59,  56.56
256, 39.60,  56.52
257, 39.61,  56.56
258, 39.64,  56.53
259, 39.64,  56.54
260, 39.65,  56.56
261, 39.64,  56.56
262, 39.64,  56.55
263, 39.67,  56.56
264, 39.65,  56.56
265, 39.70,  56.52
266, 39.70,  56.52
267, 39.72,  56.53
268, 39.73,  56.55
269, 39.71,  56.53
270, 39.74,  56.53
271, 39.75,  56.53
272, 39.75,  56.50
273, 39.76,  56.51
274, 39.76,  56.51
275, 39.72,  56.54
276, 39.75,  56.46
277, 39.77,  56.54
278, 39.77,  56.50
279, 39.79,  56.49
280, 39.75,  56.47
281, 39.77,  56.46
282, 39.82,  56.47
283, 39.81,  56.45
284, 39.81,  56.45
285, 39.78,  56.44
286, 39.83,  56.44
287, 39.83,  56.47
288, 39.84,  56.46
289, 39.85,  56.43
290, 39.85,  56.42
291, 39.87,  56.48
292, 39.87,  56.46
293, 39.85,  56.47
294, 39.79,  56.43
295, 39.86,  56.46
296, 39.84,  56.47
297, 39.80,  56.41
298, 39.82,  56.44
299, 39.83,  56.44
300, 39.84,  56.40
